No,Provinsi,Kab_Kota,Kecamatan,Puskesmas,Kelurahan,Bulan,Tahun,Sasaran_Balita,Balita_Bulan_Ini,Balita_Ditimbang,Pct_Balita_Ditimbang,Balita_Ditimbang_Diukur,Pct_Balita_Ditimbang_Diukur,Balita_Diukur_PB_TB,Pct_Balita_Diukur_PB_TB,Balita_Punya_KIA,Pct_Balita_Punya_KIA,Balita_Naik_BB_N,Balita_Tidak_Naik_BB_T,Balita_Tidak_Timbang_Bulan_Lalu_O,Bayi_Baru_Lahir_Bulan_Ini_B,Balita_Ditimbang_Terkoreksi_D,Pct_Balita_Ditimbang_Terkoreksi,Jml_Balita_Stunting,Pct_Balita_Stunting,Jml_Balita_Wasting,Pct_Balita_Wasting,Jml_Balita_Overweight,Pct_Balita_Overweight,Jml_Balita_Underweight,Pct_Balita_Underweight,Jml_Bayi_Dapat_IMD,Pct_Bayi_Dapat_IMD,Jml_Bayi_0_5_Bulan,Jml_Bayi_0_5_Bulan_Recall,Jml_Bayi_0_5_Bulan_ASI_Eksklusif_Recall,Pct_Bayi_0_5_Bulan_ASI_Eksklusif_Recall,Jml_Bayi_6_Bulan,Jml_Bayi_ASI_Eksklusif_6_Bulan,Pct_Bayi_ASI_Eksklusif_6_Bulan,Jml_Anak_6_23_Bulan,Jml_Anak_6_23_Bulan_Wawancara,Pct_Anak_6_23_Bulan_Wawancara,Jml_Anak_6_23_Bulan_Konsumsi_5_8_Kelompok,Pct_Anak_6_23_Bulan_Konsumsi_5_8_Kelompok,Jml_Anak_6_23_Bulan_Konsumsi_Telur_Ikan_Daging,Pct_Anak_6_23_Bulan_Konsumsi_Telur_Ikan_Daging,Jml_Anak_6_23_Bulan_MPASI_Baik,Pct_Anak_6_23_Bulan_MPASI_Baik,Jml_Bayi_6_11_Bulan,Jml_Bayi_6_11_Bulan_Vitamin_A,Pct_Bayi_6_11_Bulan_Vitamin_A,Jml_Anak_12_59_Bulan,Jml_Anak_12_59_Bulan_Vitamin_A,Pct_Anak_12_59_Bulan_Vitamin_A,Jml_Anak_12_59_Bulan_Vitamin_A_2x,Jml_Balita_Underweight_Total,Jml_Balita_Suplemen_Gizi_Mikro,Jml_Balita_Gizi_Kurang_6_59_Bulan,Jml_Balita_Gizi_Kurang_6_59_Bulan_MT_Lokal,Pct_Balita_Gizi_Kurang_MT_Lokal,Jml_Balita_BB_Kurang_6_59_Bulan,Jml_Balita_BB_Kurang_6_59_Bulan_MT_Lokal,Pct_Balita_BB_Kurang_MT_Lokal,Jml_Balita_BB_Tidak_Naik_6_59_Bulan,Jml_Balita_BB_Tidak_Naik_6_59_Bulan_MT_Lokal,Pct_Balita_BB_Tidak_Naik_MT_Lokal,Jml_Gizi_Buruk_Bayi_0_5_Bulan,Jml_Gizi_Buruk_Bayi_0_5_Bulan_Perawatan,Pct_Gizi_Buruk_Bayi_0_5_Bulan_Perawatan,Jml_Gizi_Buruk_Balita_6_59_Bulan,Jml_Gizi_Buruk_Balita_6_59_Bulan_Perawatan,Pct_Gizi_Buruk_Balita_6_59_Bulan_Perawatan,Jml_Balita_Stunting_Total,Jml_Balita_Stunting_Rujuk_PKM_RS,Pct_Balita_Stunting_Rujuk_PKM_RS,Waktu_Input
1,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG LESTARI,BONTANG LESTARI,Desember,2025,440,552,517,93.66,517, 93.66 ,517, 93.66 ,549, 99.46 ,210,300,7,0,510, 41.18 ,114, 22.05 ,40, 7.74 ,8, 1.55 ,105, 20.31 ,0,0,0,0,0,0,9,5, 55.56 ,147,145, 98.64 ,93, 64.14 ,139, 95.86 ,91, 62.76 ,0,0,0,0,0,0,0,198,73,155,62,40,72,0,0,204,0,0,0,0,0,2,2,100,240,65,27.08,23/01/2026 20:05
2,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG SELATAN I,SATIMPO,Desember,2025,781,317,167,52.68,167, 52.68 ,167, 52.68 ,316, 99.68 ,88,74,5,0,162, 54.32 ,31, 18.56 ,5, 2.99 ,4, 2.40 ,17, 10.18 ,0,0,0,0,0,0,2,1, 50.00 ,97,75, 77.32 ,75, 100.00 ,75, 100.00 ,75, 100.00 ,0,0,0,0,0,0,0,59,41,18,12,66.67,13,0,0,51,0,0,0,0,0,0,0,0,98,3,3.06,5/1/2026 9:25
3,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG SELATAN I,Tanjung Laut,Desember,2025,1537,768,711,92.58,711, 92.58 ,711, 92.58 ,768, 100.00 ,368,335,8,0,703, 52.35 ,161, 22.64 ,46, 6.47 ,21, 2.95 ,119, 16.74 ,0,0,0,0,0,0,8,4, 50.00 ,187,172, 91.98 ,170, 98.84 ,172, 100.00 ,170, 98.84 ,0,0,0,0,0,0,0,172,112,66,56,84.85,83,0,0,218,0,0,0,0,0,4,4,100,268,7,2.61,5/1/2026 9:35
4,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG SELATAN I,TANJUNG LAUT INDAH,Desember,2025,1324,757,354,46.76,354, 46.76 ,354, 46.76 ,757, 100.00 ,159,181,14,0,340, 46.76 ,103, 29.10 ,32, 9.40 ,6, 1.69 ,84, 23.73 ,0,0,0,0,0,0,11,6, 54.55 ,217,157, 72.35 ,155, 98.73 ,157, 100.00 ,155, 98.73 ,0,0,0,0,0,0,0,206,116,65,55,84.62,55,0,0,113,0,0,1,1,100,1,1,100,246,15,6.1,23/01/2026 7:50
5,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG SELATAN II,BEREBAS PANTAI,Desember,2025,949,501,316,63.07,316, 63.07 ,316, 63.07 ,501, 100.00 ,174,139,2,1,313, 55.59 ,79, 25.00 ,21, 6.65 ,7, 2.22 ,53, 16.77 ,1,100,0,0,0,0,5,3, 60.00 ,115,74, 64.35 ,68, 91.89 ,70, 94.59 ,68, 91.89 ,0,0,0,0,0,0,0,203,161,116,20,17.24,33,0,0,87,0,0,0,0,0,2,2,100,248,18,7.26,12/1/2026 9:48
6,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG SELATAN II,BEREBAS TENGAH,Desember,2025,1532,673,400,59.44,400, 59.44 ,400, 59.44 ,673, 100.00 ,183,206,6,5,389, 47.04 ,110, 27.05 ,23, 5.75 ,13, 3.25 ,73, 18.25 ,4,80,0,0,0,0,12,9, 75.00 ,185,117, 63.24 ,102, 87.18 ,110, 94.02 ,102, 87.18 ,0,0,0,0,0,0,0,217,141,124,19,15.32,52,0,0,138,0,0,1,1,100,5,5,100,359,34,9.47,12/1/2026 10:02
7,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,BONTANG KUALA,Desember,2025,457,377,346,91.78,346, 91.78 ,346, 91.78 ,377, 100.00 ,205,136,3,2,341, 60.12 ,40, 11.56 ,18, 5.20 ,6, 1.73 ,46, 13.29 ,2,100,0,0,0,0,1,0, -   ,111,111, 100.00 ,111, 100.00 ,111, 100.00 ,111, 100.00 ,0,0,0,0,0,0,0,28,24,34,8,23.53,32,0,0,98,0,0,0,0,0,0,0,0,60,27,45,20/01/2026 8:30
8,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,BONTANG BARU,Desember,2025,1130,587,558,95.06,558, 95.06 ,558, 95.06 ,587, 100.00 ,295,258,4,1,553, 53.35 ,90, 16.13 ,35, 6.27 ,35, 6.27 ,67, 12.10 ,1,100,0,0,0,0,8,1, 12.50 ,159,157, 98.74 ,157, 100.00 ,157, 100.00 ,157, 100.00 ,0,0,0,0,0,0,0,19,14,45,10,22.22,40,0,0,181,0,0,0,0,0,0,0,0,108,3,2.78,20/01/2026 8:31
9,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,API-API,Desember,2025,1599,790,650,82.28,650, 82.28 ,650, 82.28 ,790, 100.00 ,289,355,6,0,644, 44.88 ,113, 17.38 ,28, 4.31 ,18, 2.77 ,76, 11.69 ,0,0,0,0,0,0,9,2, 22.22 ,219,218, 99.54 ,218, 100.00 ,218, 100.00 ,218, 100.00 ,0,0,0,0,0,0,0,30,28,45,9,20,50,0,0,271,0,0,0,0,0,0,0,0,122,59,48.36,20/01/2026 8:31
10,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,GUNUNG ELAI,Desember,2025,1535,856,698,81.54,698, 81.54 ,698, 81.54 ,855, 99.88 ,296,393,7,2,689, 42.96 ,98, 14.04 ,33, 4.73 ,31, 4.44 ,67, 9.60 ,2,100,0,0,0,0,13,4, 30.77 ,243,241, 99.18 ,241, 100.00 ,241, 100.00 ,241, 100.00 ,0,0,0,0,0,0,0,32,30,52,8,15.38,40,0,0,294,0,0,0,0,0,0,0,0,109,50,45.87,20/01/2026 8:32
